059001BRANCO         0207000000030000.00000.0 
059002PRETO          0001000000000000.00000.0 
059003PRATA          1519000601470000.00000.0 
072601BRANCO         1139000100380000.00000.0 
072602PRETO          0002000000000000.00000.0 
077101BRANCO         0709000100250000.00000.0 
077102PRETO          0351000000060000.00000.0 
077112ROSA           0207000000000000.00000.0 
077141VERDE LIMAO    0444000000070000.00000.0 
077154VERDE PASTEL   0158000000000000.00000.0 
077201BRANCO         0781000000200000.00000.0 
077202PRETO          0526000300110000.00000.0 
077212ROSA           0257000000000000.00000.0 
077216VERDE          0116000000000000.00000.0 
077218VERMELHO       0617000100050000.00000.0 
077219AZUL           0000000000000000.00000.0 
077248CINZA AZULADO  0000000000000000.00000.0 
077254VERDE PASTEL   0227000000000000.00000.0 
084001BRANCO         0001000000000000.00000.0 
084002PRETO          0001000000000000.00000.0 
084004BEGE           0393000000100000.00000.0B
084005AMARELO        0209000100140000.00000.0C
084019AZUL           0952000000090000.00000.0A
084033VINHO          0090000000000000.00000.0C
085119AZUL           0761000000130000.00000.0A
085121CINZA          0785000000090000.00000.0A
095701BRANCO         0562000100090000.00000.0 
095702PRETO          0685000100060000.00000.0 
095703PRATA          0001000000000000.00000.0 
095718VERMELHO       0666000200030000.00000.0 
095737AZUL JEANS     0068000000000000.00000.0 
095745CHUMBO         0041000000000000.00000.0 
095747AMARELO QUEIM  0021000000000000.00000.0 
095754VERDE PASTEL   0067000000000000.00000.0 
131601BRANCO         0000000000000000.00000.0 
131602PRETO          0126000100440000.00000.0A
131619AZUL           0000000000000000.00000.0B
131623AZUL ROYAL     0025000000050000.00000.0 
131625AZUL MARINHO   0010000000000000.00000.0C
131645CHUMBO         0076000000190000.00000.0A
132802PRETO          0000000000000000.00000.0 
132812ROSA           0000000000000000.00000.0 
132816VERDE          0000000000000000.00000.0 
132818VERMELHO       0000000000010000.40000.0 
132819AZUL           0002000000000000.00000.0C
140116VERDE          0246000000010000.00000.0 
140118VERMELHO       0040000000170000.00000.0 
140119AZUL           0299000000080000.00000.0 
140502PRETO          0000000000000000.00000.0 
140516VERDE          0167000200070000.00000.0A
140518VERMELHO       0001000000000000.00000.0 
140533VINHO          0170000000050000.00000.0A
140538AZUL CINZA     0000000000000000.00000.0 
154606CARAMELO       0010000000050000.00000.0 
154622VERDE MUSGO    0010000000050000.00000.0 
154623AZUL ROYAL     0005000000030000.00000.0 
161902PRETO          0001000000000000.00000.0 
161903PRATA          0391000000150000.00000.0 
161921CINZA          0000000000010000.00000.0 
161972DOURADO        0344000000180000.00000.0 
186601BRANCO         0650000000010000.00000.0 
186602PRETO          0727000000010000.00000.0 
186617LARANJA        0001000000000000.00000.0 
186618VERMELHO       0567000000000000.00000.0 
186625AZUL MARINHO   0008000000000000.00000.0 
186692LARANJA PASTEL 0000000000000000.00000.0 
188018VERMELHO       0053000000110000.00000.0 
188019AZUL           0057000000040000.00000.0 
198112ROSA           0449000100250000.00000.0 
198117LARANJA        0127000000000000.00000.0C
198131AREIA          0000000000000000.00000.0 
198171LILAS          0536000200210000.00000.0 
199804BEGE           0058000000030000.00000.0C
199816VERDE          0346000100390000.00000.0 
199819AZUL           0404000500290000.00000.0 
202402PRETO          0095000000210000.00000.0A
202403PRATA          0000000000000000.00000.0A
202404BEGE           0023000000000000.00000.0 
